index,AADT_VN,BEGIN_POIN,COUNTY_COD,END_POINT,IRI_VN,IS_IMPROVED,ROUTE_ID,SPEED_LIMI,THROUGH_LA,YEAR_RECOR,curval,geometry_paths,tmiles,tons,value
0,44290,5.3,97,5.4,44,0,IN0000100000,60.0,4,2013,263,"[[[-88.31770505199995, 30.49976574300007], [-88.31693952599994, 30.49993859400007], [-88.31608623999995, 30.500140583000075]], [[-88.31771020699995, 30.49977133400006], [-88.31694468099994, 30.49994418700004], [-88.31609139499994, 30.500146174000065], [-88.31694468099994, 30.49994418700004], [-88.31772155999994, 30.49976877100005]]]",15,716,270
1,44750,5.3,97,5.4,48,0,IN0000100000,60.0,4,2014,268,"[[[-88.31770505199995, 30.49976574300007], [-88.31693952599994, 30.49993859400007], [-88.31608623999995, 30.500140583000075]], [[-88.31771020699995, 30.49977133400006], [-88.31694468099994, 30.49994418700004], [-88.31609139499994, 30.500146174000065], [-88.31694468099994, 30.49994418700004], [-88.31772155999994, 30.49976877100005]]]",16,750,286
2,45760,5.3,97,5.4,80,1,IN0000100000,60.0,4,2015,192,"[[[-88.31770505199995, 30.49976574300007], [-88.31693952599994, 30.49993859400007], [-88.31608623999995, 30.500140583000075]], [[-88.31771020699995, 30.49977133400006], [-88.31694468099994, 30.49994418700004], [-88.31609139499994, 30.500146174000065], [-88.31694468099994, 30.49994418700004], [-88.31772155999994, 30.49976877100005]]]",17,778,292
3,48670,5.3,97,5.4,43,1,IN0000100000,70.0,4,2016,176,"[[[-88.31770505199995, 30.49976574300007], [-88.31693952599994, 30.49993859400007], [-88.31608623999995, 30.500140583000075]], [[-88.31771020699995, 30.49977133400006], [-88.31694468099994, 30.49994418700004], [-88.31609139499994, 30.500146174000065], [-88.31694468099994, 30.49994418700004], [-88.31772155999994, 30.49976877100005]]]",17,783,311
4,49080,5.3,97,5.4,39,1,IN0000100000,70.0,4,2017,205,"[[[-88.12412879499999, 30.698415469000054], [-88.12402345999999, 30.69890911600004]], [[-88.12402857099994, 30.698914757000068], [-88.12413390499995, 30.698421109000037], [-88.12402857099994, 30.698914757000068]]]",17,771,314
5,51136,5.3,97,5.4,37,0,IN0000100000,70.0,4,2018,242,"[[[-88.31770505199995, 30.49976574300007], [-88.31693952599994, 30.49993859400007], [-88.31608623999995, 30.500140583000075]], [[-88.31771020699995, 30.49977133400006], [-88.31694468099994, 30.49994418700004], [-88.31609139499994, 30.500146174000065], [-88.31694468099994, 30.49994418700004], [-88.31772155999994, 30.49976877100005]]]",17,792,323
6,50673,5.3,97,5.4,38,0,IN0000100000,70.0,4,2019,420,"[[[-88.12412879499999, 30.698415469000054], [-88.12402345999999, 30.69890911600004]], [[-88.12402857099994, 30.698914757000068], [-88.12413390499995, 30.698421109000037], [-88.12402857099994, 30.698914757000068]]]",20,1070,390
7,45043,5.3,97,5.4,47,0,IN0000100000,68.6411149825784,4,2020,240,"[[[-88.31770505199995, 30.49976574300007], [-88.31693952599994, 30.49993859400007], [-88.31608623999995, 30.500140583000075]], [[-88.31771020699995, 30.49977133400006], [-88.31694468099994, 30.49994418700004], [-88.31609139499994, 30.500146174000065], [-88.31694468099994, 30.49994418700004], [-88.31772155999994, 30.49976877100005]]]",16,816,280
8,50787,5.3,97,5.4,36,0,IN0000100000,65.0,4,2022,566,"[[[-88.12412879499999, 30.698415469000054], [-88.12402345999999, 30.69890911600004]], [[-88.12402857099994, 30.698914757000068], [-88.12413390499995, 30.698421109000037], [-88.12402857099994, 30.698914757000068]]]",17,914,321
9,44290,5.4,97,5.5,63,1,IN0000100000,60.0,4,2013,263,"[[[-88.31608623999995, 30.500140583000075], [-88.31525646099999, 30.500348295000038], [-88.31454629999996, 30.500533312000073], [-88.31447753199996, 30.500551875000042]], [[-88.31449376899997, 30.500554475000058], [-88.31455145399997, 30.500538903000063], [-88.31526161599999, 30.500353886000028], [-88.31609139499994, 30.500146174000065], [-88.31526161599999, 30.500353886000028], [-88.31455145399997, 30.500538903000063], [-88.31448268599996, 30.500557466000032]]]",15,716,270
